Model,Price,Performance score
Novus Flex 14 ,505,2280
HexaTech NeoBook 15 ,515,2410
Velora Lite 13 ,528,2330
HexaTech Spark 14 ,535,2520
Novus Home 15 ,548,2440
Velora Slim 14 ,555,2590
Velora Lite 14 ,565,2490
Velora Go 15 ,575,2680
HexaTech Spark 15,588,2610
Velora Go 14 ,598,2750
Novus Air 15 ,522,2470
Velora Lite 15 ,538,2380
HexaTech CoreBook 15,548,2560
HexaTech NeoBook 14 ,562,2480
Novus Air 14 ,572,2670
Novus Home 14 ,585,2580
Novus Air 13 ,598,2760
HexaTech NeoBook 13 ,612,2690
Velora Edge 14 ,875,5250
Novus Creator 15 ,888,5480
Velora Vision 14 ,902,5360
Aster Book Pro 14 ,915,5640
Novus Studio 14 ,928,5510
Aster Flow 14 ,942,5790
Velora Fusion 15,955,5670
Aster Core X14 ,968,5960
Novus Ultra 14 ,982,5830
Aster Flow 15 ,995,6120
Aster Book S14 ,890,5570
Novus Studio 15 ,905,5440
Velora Edge 15 ,920,5730
Velora Motion 16 ,935,5610
Novus Pro 15 ,950,5900
Velora Vision 15 ,965,5770
Novus Pro 14 ,980,6060
Aster Book S15 ,995,5930
Velora Quantum Pro ,1375,9250
HexaTech Predator 16 ,1390,9620
Velora Infinity 18 ,1405,9410
Velora Prime Studio ,1420,9890
Titan Apex 17 ,1435,9670
Aster Forge 16 ,1450,10140
Titan Vector X17 ,1465,9920
HexaTech Vulcan Pro,1480,10390
Titan Forge X15 ,1495,10180
Aster Elite X16 ,1510,10650
HexaTech Vulcan X ,1388,9810
Titan Forge X17 ,1402,9590
Velora Prime 16 ,1418,10060
Velora Quantum X ,1432,9840
Titan Apex 18 ,1448,10320
Aster Forge 17 ,1462,10110
Titan Vector X18 ,1478,10580
Aster Elite X14 ,1492,10370
HexaTech Predator 17 ,1508,10840
Aster TitanBook 18 ,1522,10630
Titan Forge Ultra 15,1538,11110
Titan Forge Ultra 16,1552,10890
